질문 유형,직무 - 회사,질문,답변
동기/포부,데이터사이언티스트 - 에코마케팅,해당 직장 블로그 인터뷰 → 인터뷰이 중 자신의 생각과 가장 닮아 있다고 생각하는 사람은 누구이며 그 이유는 무엇인가요?,"""Kyle : 주도적으로 살고 싶은 이들에게 전합니다""""내가 스스로, 주도적으로, 자발적으로 일하고 싶다""Kyle 프로님의 인터뷰를 읽으며 위문장에 깊이 공감하였습니다. 저도 주도적인 인생, 주도적인 업무를 지향하기 때문입니다. 이를 위해 저는 늘 작은 목표들을 설정하고 이를 달성하기 위해 성실하게 움직입니다.학생 시절에는 여러 가지 공모전과 대외활동을 하며 팀원들에게 제 의견을 분명하고 설득력 있게 전달하기 위해 Powerpoint와 Photoshop 같은 디자인 툴을 공부했습니다. 3번의 인턴 경험을 거치면서 비즈니스 의사결정에 있어서 강력한 무기가 되는 데이터의 중요성을 깨달았고, 로우 데이터를 다루는 마케터가 되기 위해 약 4개월간 비즈니스 분석가 과정을 수료하였습니다.이 과정에서 시각화 공모전을 준비하여 우수상을 수상하기도 했습니다. 평일 9시간 동안 수업과 프로젝트를 수행하며 SQL, Python, Tableau와 같은 기술 역량을 길렀습니다. 그리고 이후 저녁시간과 주말을 활용하여 각 기업별로 분산된 데이터를 통합적으로 확인할 수 있는 HR 대시보드를 제작했습니다. 각각의 데이터를 Python을 사용해 한국표준분류에 따라 통합했습니다. Tableau를 활용하여 기업의 산업과 규모에 따라 데이터를 비교할 수 있도록 동적 대시보드를 구성했습니다.공모전을 준비하며 데이터 분석에 있어서 기술적인 어려움도 존재했지만, 비즈니스 도메인에 대한 이해와 서로 다른 데이터를 연결해서 사고할 수 있는 능력의 중요성을 깨달았습니다. 부여된 목표와 책임을 다하기 위해 자기 계발을 거듭하고, 한국 표준분류를 찾아보는 등의 추가적인 인사이트 확보를 위해 노력했습니다. 조직의 목표에 몰입하여 책임을 다하는 구성원이 되겠습니다.이처럼 저는 주도적으로 제 일에 몰두하고 공부하는 사람입니다. Kyle 프로님과 같이 에코마케팅의 다른 프로님들과 함께 시너지를 낼 수 있는 구성원이 되고 싶습니다.

"
역량/경험,데이터사이언티스트 - 에코마케팅,직무 관련 전문지식/경험,"""고객 데이터 기반 CRM 기획 경험""
OO에서 그로스 해커 인턴으로 근무하며 어드민 데이터를 활용해 CRM을 기획하는 업무를 진행했습니다. 구매 횟수에 따라 고객의 Decile을 구성하고 그에 따라 차등적인 할인율을 제공하는 쿠폰을 발행했습니다. 쿠폰의 성과를 측정하기 위해 '첫 구매일 이후 각 기간별 재구매율'을 볼 수 있는 리텐션 차트를 제작하기도 했습니다.
또한 문자 알림 대상자를 선정하기 위해 데이터 기반의 가설을 수립하고 검증한 경험이 있습니다. 현재 '장바구니'나 '좋아요'기능이 없는 서비스 특성상 상품에 관심을 가지는 고객을 추출하는데 어려움이 있었습니다. 이를 위해 ""구매자는 상세페이지 방문 횟수가 일정 횟수 이상을 넘을 것이다""라는 가설을 세웠고 SQL을 통해 상세페이지 방문 횟수가 3회 이상이 될 때 구매 전환수가 증가한 것을 확인했습니다. 이러한 인사이트를 반영하여 문자 알림 대상자를 선정하였고 최종 구매전환율을 0.5%까지 달성할 수 있었습니다.
이러한 데이터 기반의 가설 검증 및 분석 경험은 에코 마케팅에서 데이터 직무로 근무를 하는 데 도움이 될 것이라 확신합니다.

""데이터 분석 도구 활용 능력""
약 4개월 동안 비즈니스 데이터 분석가 과정을 수료했습니다. 해당 과정을 통해 데이터 분석 도구인 SQL, Python, Tableau 등에 대해 공부했습니다. 또한 프로젝트의 일환으로 리셀 플랫폼인 KREAM의 데이터를 추출해 스니커즈의 리셀 가격을 분석한 경험이 있습니다.
저는 데이터 전처리와 EDA를 담당하였습니다. Python을 통해 KREAM에 등록된 일부 스니커즈 데이터를 크롤링하고 전처리를 진행하였습니다. 그리고 Python과 Tableau로 EDA를 진행하면서 가설 설정에 필요한 변수를 새로운 칼럼으로 추가하였습니다. 최종적으로 유의미한 상관관계를 보인 콜라보, 브랜드, 사이즈를 변수로 선정해 판매 가격에 대한 가설을 설정하였습니다.
위 경험을 통해 Python을 활용한 데이터 전처리 능력과 시각화 역량, 협업 능력 등을 기를 수 있었습니다.

""마케팅에 대한 높은 이해도""
저는 3번의 인턴 경험을 통해 콘텐츠, 퍼포먼스, 데이터, CRM 등 B2C와 B2B를 가리지 않고 다양한 마케팅 업무를 경험했습니다.
글로벌 번역 서비스 스타트업에서 B2B 프로모션을 담당하였고, 부차적으로 퍼포먼스 마케팅을 지원하며 구글 태그 생성, 홈페이지 콘텐츠 개선, 콜드 메일링 등의 작업을 지원했습니다. 또한 OO에서 콘텐츠 마케팅 인턴으로 화장품, 아이웨어 브랜드의 글로벌 SNS 콘텐츠를 기획하는 업무를 진행했습니다.

OO에서 OO의 데이터 분석 프로젝트에 참여한 경험이 있습니다. 주로 인사이트 보고서를 작성하는 업무를 지원했습니다. 주기적으로 Adobe Analytics를 통해 데이터를 보고서로 가져온 후 트래픽의 이상 여부를 확인했습니다. 변경된 CTA와 페이지가 있을 경우, 옴니 버그를 통해 실제 트래픽 발생 여부를 비교하여 보고서를 수정했습니다. 당시 위와 같은 작업을 통해 약 2주에 걸쳐 프로모션 페이지 내 영상 링크에서 클릭률이 저조한 CTA를 정리해 사용성을 증대시키기도 했습니다.
이러한 마케팅에 대한 관심과 이해도는 에코마케팅에서 진행하는 다양한 프로젝트의 데이터를 이해하고 분석하는 데 도움이 될 것이라 확신합니다.
이처럼 저는 마케팅 실무 경험을 바탕으로 데이터 분석에 대한 필요와 제 흥미를 찾았습니다. 그리고 그러한 호기심을 바탕으로 새로운 도구와 방법론에 대한 공부를 지속하는 사람입니다."
동기/포부,머신러닝엔지니어 - LG CNS,지원 동기 / 입사 이후 꿈꾸는 것,"""코딩을 이용해 키운 통계적 역량으로 혁신에 기여하고 싶습니다""새내기 시절 놀기 좋아하던 저의 관심을 처음으로 끈 전공 수업은 컴퓨터자료처리 수업이었습니다. R과 SAS 등 통계 프로그램을 이용하니 복잡한 계산에 정신이 팔리지 않고 통계적 원리를 더 파고들 수 있었습니다. 깨달은 원리를 코딩으로 실현시키는 것에 재미를 느껴 해당 수업에서 일 등을 할 정도로 흥미와 열정을 가지고 공부했습니다. 그 수업을 계기로 자신감을 얻어 혼자서 파이썬과 VBA를 추가로 공부하고, R 마크다운을 이용하는 법이나 정규표현식 등 다양하게 코드를 구현하는 방법을 배워 통계분석과 코딩 역량을 꾸준히 발전시켰습니다. 이런 저에게 LG CNS는 제 역량을 발휘하고 관련 기술을 더 키울 수 있는 완벽한 회사입니다. 본사에서 인턴 생활을 한 과 동기를 통해 회사를 알게 되었는데, 통계학도로서 실제 데이터를 이용해 아이디어를 내고, 분석해 그 결과가 쓸모 있게 쓰이게 되는 보람을 느끼며 일할 수 있는 곳이라고 생각했습니다. 교통카드와 카카오페이와 같이 생활에 가장 밀접하게 쓰고 있는 기술을 직접 개발하며 혁신적인 아이디어를 실현시키는데 가장 핵심적인 역할을 하는 LG CNS에서 대량의 데이터를 통해 의미 있는 인사이트를 얻고 혁신을 만들어 가는데 참여하고 싶습니다. 특히 본사가 추진하는 스마트팩토리와 스마트 물류 사업에 관련해 일하고 싶습니다. 이 사업은 디지털 플랫폼을 통해 산업들을 연결해 4차 산업 시대를 이끌 사업이라고 생각합니다. 본사가 보유하고 있는 접근하기 힘든 다양한 산업군의 회사들의 데이터를 이용해 다양한 산업에 도움을 주는 유의미한 분석을 할 것입니다.SW Boot Camp에 참가해 LG CNS의 전문가들 하, JAVA나 C 등 언어를 심도 있게 배워 실제 빅데이터를 가지고 연습할 기회를 얻고 싶습니다. 입사 후에는 데이터 전문가로서의 역량을 키우며 IT 기술을 익혀 스마트 팩토리 분야의 전문가가 되겠습니다."
역량/경험,머신러닝엔지니어 - LG CNS,직무 관련 지식/경험,"""직관을 분석에 반영하다""저는 단순히 정해진 통계분석 틀에 데이터를 가공해 집어넣는 것이 아닌, 논리적으로 설계한 분석 결과에서 의미를 도출하는 과정에 뿌듯함을 느낍니다. 데이터 분석가로서 전문성을 기르기 위해 저는 분석의 예시를 보며, 자료에 접근하고 결과를 해석하는 다양한 방법을 익혀 직접 프로젝트를 진행해보았습니다. 전공 수업에서 여러 모델의 성능을 비교해 랜덤 포레스트 모형으로 서울시 따릉이 수요 예측 모델을 만들고 교수님께 피드백을 받는 등 경험을 쌓았습니다. 지난 학기에는 본교에서 개최한 패널 빅데이터 분석 경진대회에 참가해 프로젝트를 진행했습니다. 115,854명 응답자의 앱과 카드결제 데이터 등을 이용해 그루밍족(뷰티에 관심있는 남성)의 소비패턴이라는 주제로 분석을 시행했습니다. 그 과정에서, 응답자 별로 뷰티에 관심 있는 정도를 나타내는 변수를 생성해야 했습니다. 각 화장품 품목들에 그 빈도수의 역수를 중요도로 부여해 점수화해서 뷰티 관심도를 측정하는 방법을 고안해냈습니다. 트리 모형과 로지스틱 회귀, 연관성 분석을 통해 남성 타겟의 화장품 마케팅 인사이트를 얻을 수 있었고, 우수상을 받는 성과를 이뤘습니다. 새로운 시각으로 데이터를 보고 창의력을 발휘해 분석할 수 있습니다.
""다양한 툴에 도전해 기른 코딩에 대한 자신감""저는 코딩 툴을 다루는 데 열정이 있습니다. 통계분석을 할 때는 물론 기타 활동을 할 때도 R과 SAS 실력을 바탕으로 다른 프로그램을 자발적으로 익혀 접목하곤 했습니다. 금융 학회의 부회장으로서 활동할 당시 파이썬을 이용해 채권 가격을 구하고, 몬테 카를로 시뮬레이션을 돌려보는 등의 세션을 추진해 진행하여 타과 친구들에게 가르쳐주었습니다. 보험회사 인턴을 할 때에는, 업무 대부분에 엑셀을 사용하는 것을 보고 VBA를 스스로 익혀 반복적인 업무를 자동화시켜 업무 시간을 단축하는 성과를 낸 적도 있습니다. 이와 같이, 도전정신을 바탕으로 새로운 실무에 필요한 툴과 컴퓨터 언어를 습득할 역량이 있습니다."
동기/포부,데이터분석 -  네이버웹툰,지원동기,"콘텐츠 산업은 콘텐츠를 소비하는 사람들이 어떤 것을 원하고, 어떤 시점에 이탈하고, 어떻게 충성고객이 되어가는지에 대해 수많은 의문을 제기하고 데이터를 통해 궁금증을 해결해나갈 수 있는 매력적인 분야라고 생각합니다. 
그중에서도 네이버 웹툰은 창작 생태계를 조성하여 신인 작가를 계속해서 발굴하고, 지속적으로 콘텐츠를 생산하고 있습니다. 이는 다양한 웹툰 작가와 소비자층을 끌어들이는 강력한 힘으로 작용하고, 그 결과 다른 웹툰 플랫폼과 비교했을 때 훨씬 다양한 콘텐츠와 많은 이용자를 확보하고 있습니다. 여기서 생성되는 방대한 소비자 행동 데이터는 데이터를 분석하여 인사이트를 도출하기 위한 최고의 환경이라고 생각합니다. 
저는 스타트업 데이터 분석 인턴으로 일하면서 직접 데이터를 추출하여 인사이트를 얻고, 이를 실제 기획에 반영하는데 기여하는 경험을 쌓고 있습니다. 지금까지 대시보드 관리, KPI 설정 및 모니터, 광고 및 캠페인 효율 분석 등의 업무를 수행하였습니다. 서비스와 데이터베이스 구조를 정확히 파악하고 SQL로 데이터를 직접 추출할 수 있으며, 데이터 분석의 목적을 이해하고 타당한 가설을 수립하여 검증하는 능력을 키웠습니다. 저의 경험을 활용하여 보다 많은 소비자들의 행동데이터가 쌓이는 곳에서 좀 더 고도화된 분석 작업에 기여해보고 싶었고, 국내 최대의 웹툰 플랫폼인 네이버웹툰에서 분석 경험을 쌓고 싶어 지원하게 되었습니다. 고객들이 원하는 콘텐츠를 가장 편리하게 찾아볼 수 있는 플랫폼이 될 수 있도록 데이터 분석을 통해 서비스를 개선해가고 싶습니다."
역량/경험,데이터분석 -  네이버웹툰,데이터분석 역량,"저는 실시간으로 발생하는 고객들의 행동 데이터를 분석하여 인사이트를 도출하고, 더 좋은 서비스를 제공할 수 있는 방법을 찾는 Data Analyst가 되고 싶습니다. 저는 다음과 같은 이유로 제가 데이터 분석에 적합한 능력을 갖추고 있다고 생각합니다.  
“데이터에 기반한 가설 수립과 검증 능력” 
 인턴 기간 대시보드를 모니터링하던 중, 7월 말 서비스의 당일 가입률이 하락하였다는 사실을 발견하였습니다. 광고비 지출 증가, 제품의 문제, 시즈널 트렌드 등의 요소가 7월 당일 가입률 하락에 영향을 미쳤을 것이라고 가설을 세운 뒤, 직접 데이터 추출하여 검증하였습니다. 분석 중 웹 진입자 수를 그동안 잘못 인식해왔던 오류를 발견하고, 개발자와 협력하여 원인을 파악한 뒤 부서에 공유하였습니다. 지금까지 웹 진입을 실제보다 적게 인식해서 생긴 오류까지 꼼꼼하게 확인하였습니다. 이렇듯 저는 작은 변화를 그냥 지나치지 않는 호기심과, 이를 실제 액션까지 연결하는데 필요한 소통 능력을 기반으로 실무 경험을 쌓았습니다. 

“데이터 분석 및 지표설정 경험”
  상품 기획 부서와 커뮤니케이션을 통해 대시보드를 재구성하여 관리하였습니다. 상품 특성상 상품이 교체되는 시기에 매출이 비교적 상승하였다가 서서히 감소하는 추세가 있다는 것을 인지하고, 상품 성과를 정확하게 비교할 수 있도록 판매 경과일 기준으로 매출액을 시각화한 차트를 추가하였습니다. 또한 특정 상품의 USP를 정의하기 위한 비교 지표를 설정한 경험이 있습니다. 상품 이용 가능 기간, 만료 시점, 특성을 고려하여 비교 대조군을 선택하고, 직접 데이터베이스에서 데이터를 추출하고 전처리하였습니다. 앱 접속률과 목표점수 달성률을 측정할 수 있는 지표를 만들고 인사이트를 도출하였습니다. 

“데이터 추출 스킬 및 툴 사용경험” 
 sql을 능숙하게 사용하여 원하는 데이터를 추출할 수 있습니다. 인턴 기간동안 직접 sql 쿼리를 작성하여 사내 대시보드 작업, 프로모션 및 제품 성과 분석 등 업무를 수행하였습니다. 또한, 학부 수업에서는 R과 Python 으로 데이터 분석 및 시각화에 필요한 패키지를 익혔습니다. 배운 내용을 활용하여 NBA 연봉 예측 모델 프로젝트를 진행한 적이 있습니다. Naive Bayes, Knn, Decision tree 등 R을 활용하여 직접 모델링 실습을 하면서 데이터를 전처리하고 패키지를 활용하여 모델링하는 방법을 익혔습씁니다. 
  인턴 기간 동안 앱스플라이어, 리대시, 앰플리튜드, 구글 애널리틱스 등 광고데이터와 사용자 행동 데이터를 분석하는 툴을 다양하게 접하였으며, 스스로 문서를 찾아 읽고 워크샵에 참여하여 사용하는 방법과 관련 용어를 익혔습니다. 전반적인 데이터에 대한 이해와 경험을 바탕으로, 새로운 데이터나 툴에 빠르게 적응하는데 강점을 가지고 있습니다."
동기/포부,데이터분석 -  네이버웹툰,콘텐츠 서비스 분석 및 개선 아이디어,"저는 게임 스트리밍 서비스인 ‘트위치’를 자주 시청합니다. 트위치는 스트리머와 시청자들의 활발한 ‘소통’이 가장 큰 장점입니다. 트위치의 실시간 소통 시스템은 시청자들이 앱에 오랫동안 체류하게 만들고, 후원 제도는 더 많은 소비를 하게 유도합니다. 소비자들은 단순히 콘텐츠를 보는 것에서 더 나아가서, 콘텐츠의 일부분이 되는 경험을 할 수 있습니다. 또한 트위치는 스트리머를 구독하는 기능을 통해 시청자들의 충성도를 높이고 각 스트리머만의 커뮤니티를 형성하여 소통 기능을 강화하고 있습니다.
 트위치의 단점은, 시청자들이 다양한 방송을 접할 기회가 별로 없다는 것입니다. 트위치는 사용자의 취향에 따라 다양한 방송을 선택해서 보는 재미를 강조하지만, 사용자는 선택에 어려움을 겪습니다. 이에 시청자들은 자신이 좋아하는 특정 스트리머의 방송만 챙겨보는 경우가 많습니다. 이는 신입 스트리머들의 성장 기회가 적어지고, 결국에는 방송의 다양성이 저하되는 결과로 나타날 수 있습니다. 
  트위치가 성장하기 위해서는 시청자가 주로 이용하는 시간, 소통의 정도, 좋아하는 게임 카테고리 등 데이터를 분석하여, 시청자가 다양한 스트리머의 방송을 접할 수 있는 시스템을 만들어야 합니다. 보고 있던 방송이 종료되면 자동으로 다음 맞춤 콘텐츠로 연결해주는 기능을 만들거나, 내가 주로 보는 스트리머가 휴식하는 기간에 대체 콘텐츠를 추천해주는 등의 방법으로 시청자가 새로운 방송을 찾아다니지 않아도 자연스럽게 접할 기회를 만들 수 있을 것입니다. 
  데이터 분석을 활용하면 시청자들이 플랫폼에서 더 오래 시간을 보내도록 유도하고, 서비스를 성장시킬 수 있습니다. 뿐만 아니라 새로운 스트리머를 발굴할 수 있고, 다양한 콘텐츠가 계속 생산되면서 사용자 수도 증가하는 선순환 구조를 만들어갈 수 있을 것입니다."
역량/경험,데이터분석 -  네이버웹툰,데이터 분석 프로젝트 경험,"저는 교육 콘텐츠를 제공하는 앱 서비스 회사에서 인턴으로 일하고 있습니다. 인턴 기간 신규 유저 이탈을 방지하고 구매 전환율을 높이기 위한 데이터 분석 프로젝트에 참여했던 적이 있습니다. 
저는 캠페인 기획 전 단계에서 sql로 데이터를 추출하여 각 퍼널에서의 이탈율을 정리하는 역할을 수행하였습니다. 전체 구매 비중에서 신규 유저의 구매가 70%정도로 많은 비중을 차지하고 있음에도 불구하고, 현재 93% 상의 신규 가입 유저가 다음달 이탈하고 있었습니다.  이 데이터에 근거하여  매출을 높이기 위해 가장 첫번째로 고려해야 할 타겟이 당월 신규 유입 유저임을 제시하였습니다. 
  회의를 통해  당월 신규 가입자 중 구매이력이 없는 무료유저에 할인 쿠폰을 제공하기로 결정되었습니다. 쿠폰 발급 당일에만 사용 가능한 30,000원 즉시 할인 쿠폰을 앱 푸쉬로 고객들에게 전달하였습니다. 
  저는 데이터를 추출하여 프로모션 결과를 정리하는 리포트를 작성하였습니다. 앱 푸쉬는 평소보다 두배 정도의 클릭율을 보였고, 결제고객 중 25%의 유저가 타임특가 쿠폰을 이용하여 결제한 고객이었습니다. 또한 이전 동일 요일과 비교하였을 때 매출건수가 약 20%정도 상승하였습니다. 이에 근거하여 앞으로 프로모션의 방향성에 대한 결론을 도출하였습니다.  고객에게 쿠폰을 전달할 방법이 한정적이었음에도 불구하고 좋은 효율을 보였으며, 앞으로 좀 더 세분화된 고객 세그먼트에게 구매를 유도하는 할인 프로모션이 필요함을 제시하였습니다. 
  이 프로젝트를 통해 고객의 컨텐츠 이용 현황, 구매 이력, 가입시기 등을 고려하여 다양한 고객 세그먼트를 설정하는 법을 배웠습니다. 또한 각 고객 세그먼트의 앱 이용율을 높이고 구매전환을 유도하는 방법에 대한 인사이트를 얻을 수 있었습니다."
동기/포부,게임사업PM - 넥슨코리아,지원동기 및 성장목표,"넥슨의 대표 게임인 서든어택과 피파온라인은 제 학창 시절의 동반자였습니다. 어릴 적부터 꾸준히 게임을 즐기며 넥슨에 대한 막연한 동경을 품어왔습니다. 이 게임들뿐 아니라 메이플스토리, 던전앤파이터, 카트라이더 등 게임성이 훌륭하고 오랫동안 사랑받을 수 있는 게임을 만드는 회사에서 일하고 싶다는 생각이 강렬하게 들었습니다. 이러한 동경에서 시작해, 넥슨에 입사하여 단순히 유저로서가 아닌 실제 게임 개발 및 서비스에 참여하는 사람이 되고 싶었고 제가 가진 능력과 장점, 무엇보다 게임을 사랑하는 마음으로 기여할 수 있는 바가 많다고 생각해 넥슨에 지원하게 되었습니다.

 사업PM은 커뮤니케이션 역량이 가장 필요한 직무라고 생각합니다. 저는 대학 생활을 하면서 팀 프로젝트에서 조장을 줄곧 맡았으며 제 주도하에 과제가 잘 마무리될 수 있도록 조원 간 커뮤니케이션의 가교 역할을 담당했습니다. 그 결과 항상 좋은 평가를 받아왔습니다. 이러한 저의 커뮤니케이션 능력을 바탕으로 유관부서와의 협업을 잘 해낼 수 있다고 생각합니다.  

'e비즈니스'라는 전공수업에서 '에어 샤워 액세서리'라는 사업을 가상 기획한 경험이 있습니다. 서비스 시나리오와 비즈니스 모델, 그리고 경쟁사 분석을 통한 전략 캔버스를 그리며 기존 마스크를 대체할 수 있는 획기적인 아이템으로 평가받았습니다. 저의 창의성과 그를 뒷받침하는 근거를 바탕으로 수익 창출에 대한 의견을 적극적으로 제안할 수 있다고 생각합니다.

입사 후 유저와 시장의 동향, NRU, 리텐션 등의 게임 산업 지표 분석법을 익히고 이를 실무에 적용할 수 있도록 하겠습니다. 저의 최종 목표는 신규 프로젝트 론칭에 참여해 유저에게 장기간 사랑받을 수 있고 넥슨 사상 최대 수익을 창출하는 것입니다. 또한 사측의 입장과 유저의 니즈를 동시에 충족할 수 있는 안정적인 수익구조를 설계하여 넥슨의 게임들이 롱런할 수 있도록 노력하겠습니다. 유관부서와 긴밀한 소통을 통해 동료뿐 아니라 회사 전체에서도 신뢰받을 수 있는 사업PM이 되도록 최선을 다하겠습니다"
역량/경험,게임사업PM - 넥슨코리아,직무 역량 준비 과정,"[끈질긴 코딩 경험: 분석력과 객관화]

 파이썬과 R을 활용한 코딩 과목을 배운 3학년 2학기에, 한 번도 접하지 않은 분야였으나 교수님과 코딩에 능한 친구들에게 질문을 아끼지 않고 학기 내내 도서관에서 이해가 될 때까지 관련 서적을 빠짐없이 읽었습니다. 회귀분석, 시계열 등의 개념과 R을 접목해 암호화폐가 헤지자산인가의 여부를, 파이썬을 활용한 머신러닝으로 미세먼지·날씨 변수가 주식시장에 미치는 영향을 탐구해 쉬운 글과 그림으로 리포트를 작성했습니다. 집요하게 코딩을 탐구하고 수치 데이터와 논문을 분석하면서 가독성 높은 리포트에 대해 고민해 볼 수 있었습니다. 사업PM은 사업 전반에 대한 철저한 계산과 다각적인 해석이 긴요한 만큼 각종 데이터를 분석하고 객관적인 리포트로 나타내야 한다고 생각합니다. 정확하고 객관적인 리포트를 만들어 현실적이고 체계적인 BM 수립·평가와 개선에 기여하겠습니다.


[전례 없이 몰아친 서류 폭풍: 커뮤니케이션과 기획력]

 OOOOO보증의 보험금 보상 부서에서 일하던 당시 2,000건이라는 전례 없는 양의 서류를 3일 내로 처리해야 했던 적이 있습니다. 쉽게 해낼 수 없다고 대부분의 회사 분들이 말씀하셨지만 새로운 방식에 대해 심사숙고해 본 결과 일일이 찾는 기존의 방식보다 채권번호, 피보험자, 계약자별 데이터를 엑셀시트로 정리하는 방식이 좋겠다는 아이디어가 떠올랐습니다. 타 부서에 직접 찾아가 직원분에게 현재 상황과 제가 떠올린 아이디어를 설명해 도움을 받게 되었습니다. 도움을 주신 분들과 소통한 결과 그 부서에서 고유적으로 사용해온 엑셀시트와 결합해 목표보다 빠르게 처리할 수 있었습니다. 해당 업무 처리에 있어서 제가 가진 커뮤니케이션적인 장점과 기존의 틀을 깨고 새로운 방법을 제시할 수 있는 기획적인 장점이 발휘되었다고 생각합니다. 게임사업PM은 원활한 커뮤니케이션 스킬을 바탕으로 유관부서와의 협업을 해내야 하며 게임 매출 증대를 위해 항상 참신한 방향성을 제시해야한다고 생각하기에 저의 장점이 극대화될 수 있다고 생각합니다."
역량/경험,게임사업PM - 넥슨코리아,"활용 가능한 툴, 외국어, 자격증","[토익 955점&OPIC IH]

 넥슨 게임의 경우 국내뿐만 아닌 글로벌 서비스를 운영하는 게임이 많기에 외국어 능력이 필수적이라고 생각합니다. 저는 평소에도 영어가 실생활, 업무적으로 굉장히 쓰임새가 많은 언어라고 생각했습니다. 제가 가진 영어 실력을 바탕으로 국내 사업뿐 아니라 해외 사업과 관련된 업무를 그 누구보다 원활히 해낼 수 있다고 생각합니다.


[컴퓨터활용능력 1급]

 사업 PM은 특히 숫자의 활용 및 정리가 많이 필요한 직무라고 생각합니다. 저는 대학생활을 할 때에도 전공 특성상 숫자를 다뤄야 할 경우가 비일비재했고 특히 엑셀에 대한 활용 능력 및 전문성을 극대화해야겠다고 생각했습니다. 시인성과 가독성이 높은 지표 분석 및 정리를 누구보다 잘 해낼 수 있다고 생각합니다.


[데이터 분석능력]

 파이썬과 R을 자료를 통해 필요한 데이터를 추출, 시각화할 수 있는 능력을 가지고 있습니다. 방대한 지표 수치를 코딩으로 해석해 비교 분석이 용이한 자료로 도출할 수 있습니다."
역량/경험,블록체인 벡엔드 개발자 -  라인,의미 있는 개발 경험 및 성장,"끊임없는 배움과 다양한 이해를 위해]

기존 프로젝트의 백엔드를 완성한 후, 운영을 위해 새로운 인원들과 기존 프로젝트의 내용을 다시 파악했습니다. 이 때에 기존 제가 공부했던 방식과는 많이 다른 방식을 배우게 되었습니다.

- 연관관계의 제거
기존의 프로젝트는 여러 데이터들이 연결될 때에 FK로 연결하였고 이들을 DB에 매번 연결하여 가져왔습니다. 그리고 변경된 내용에서는 FK를 제거하게 되었습니다. 그 이유는 총 두 가지가 제안되었는데,
1. FK자체가 갖는 성능 저하 이슈 2. 설계 변경에 따라 데이터의 유지보수 간략화이었습니다.

그동안 연관관계를 설정하여 데이터 간의 정합성을 맞추는 것이 매우 중요한 것으로 알고 있었기 때문에 위와 같은 내용을 확인하였을 때에 제안된 내용을 신뢰하지 못했습니다.
또한, 이외에도 FK의 오버헤드가 성능 저하를 유발한다고 하지만 JPA상에서 데이터를 호출할 때에 외래키와 조건을 동시에 사용하면 더 오히려 빠르게 데이터를 가져올 수 있으니 이 방식이 옳다고 생각하여, 이 연관관계 제거를 반박하기 위해 다양한 레퍼런스를 참고하여 공부해 보았습니다.

- 캐싱 서버와 정합성 검증 로직

그리고 여러 글이나 기존 서비스를 참고하여 확인해 보았는데, 다양한 서비스에서 FK를 실제로 쓰지 않는다는 이야기를 듣고 놀랐습니다. 여기에는 Redis와 같은 NoSql을 통한 캐싱이 큰 도움을 주었다고 하는데, 미리 데이터를 저장해 놓고 정합성을 잘 검증하기만 하면 매번 DB와의 통신을 하지 않고도 쌓여 있는 데이터에서 필요한 것을 뽑아 사용할 수 있다고 했습니다. 즉 미리 모든 데이터를 캐싱시켜 두고, 이 데이터들을 상황에 맞추어 쓰기만 하면 되기 때문에 자체적으로도 오버헤드도 있고 최근 IT의 발전에 따라 다양한 DB상의 변화가 이루어 지는데, 이로 인한 데이터의 변경이 생겼을 때에 여러 부분에서 적용이 힘든 FK를 제거할 수 있다는 내용이었습니다. 그동안 알고 있던 내용 외에 다양한 이유로 새로운 페러다임이 제시되었다는 것이 신기했고, 또 재미있는 내용이었어서 이에 관한 공부를 추가로 진행해 보았습니다.

- 실제로 적용하고, 확인해 보며 이 때에 배운 FK제거와 Redis사용을 통한 DB부하 제거는 현재 스터디 중에 있습니다.
그리고 저희의 상황에 맞추어 내용을 조금씩 변경하고 이에 따른 Trade-off를 살펴 보는 중입니다.
예를 들어 캐싱 서버를 따로 두는 것은 예산에서 처리하기 힘들 것이라 생각하여 Spring boot 서버에서 Redis를 붙이거나 FK는 ERD상에서는 적용하고 실제로는 제거하는 등의 부분입니다. 현재는 개발 참여 인원들이 해당 내용에 대해 잘 알지 못하는 상황이라 이전에 내용을 공부한 제가 스터디를 진행하고 있고, 매 주 공부한 내용을 서로 발표하고 토론하고 있습니다. 이를 통해 기존에 제대로 알고 있다고 생각한 것도 금방 바뀔 수 있다는 것을 알았고, 지금보다 더 열심히 공부하고 새로운 것을 익히고 싶다는 생각을 갖게 되었습니다."
